Peso,Data,Tempo
124,14/01/20,16:00:00
122.7,18/01/20,08:34:00
122.3,19/01/20,11:55:00
121.4,20/01/20,10:21:00
122.2,21/01/20,12:17:00
121.1,22/01/20,8:47:00
120.7,23/01/20,7:22:00
121.1,24/01/20,08:34:00
119.8,25/01/20,09:11:00
120.3,26/01/20,08:24:00
120.1,27/01/20,07:24:00
119.1,28/01/20,08:15:00
117.2,29/01/20,07:13:00
117.6,30/01/20,
117.4,31/01/20,
117.1,01/02/20,
117.6,02/02/20,
118.2,03/02/20,
117.1,04/02/20,
116.4,05/02/20,
116.6,06/02/20,
116.1,07/02/20,
116.4,08/02/20,
116.3,09/02/20,
115.7,10/02/20,
115.9,12/02/20,
115.8,13/02/20 ,
115.1,14/02/20,
115.6,15/02/20 ,
115.6,16/02/20 ,
115.6,17/02/20 ,
114.1,18/02/20 ,
113.2,19/02/20 ,
114.3,22/02/20 ,
113.5,23/02/20 ,
114.1,24/02/20 ,
113.8,25/02/20 ,
113.8,26/02/20 ,
113.8,27/02/20 ,
113.4,28/02/20 ,
112,29/02/20 ,
112.8,01/03/20,
112.5,02/03/20,
111.2,03/03/20,
112.8,04/03/20,
